,activities [10 sec],time_2hours,group,time
0,0,,0.0,2023-06-13 05:41:48
1,0,,1.0,2023-06-13 05:41:58
2,0,,2.0,2023-06-13 05:42:08
3,1,,3.0,2023-06-13 05:42:18
4,0,,4.0,2023-06-13 05:42:28
5,1,,5.0,2023-06-13 05:42:38
6,1,,6.0,2023-06-13 05:42:48
7,0,,7.0,2023-06-13 05:42:58
8,1,,8.0,2023-06-13 05:43:08
9,0,,9.0,2023-06-13 05:43:18
10,0,,10.0,2023-06-13 05:43:28
11,0,,11.0,2023-06-13 05:43:38
12,1,,12.0,2023-06-13 05:43:48
13,1,,13.0,2023-06-13 05:43:58
14,2,,14.0,2023-06-13 05:44:08
15,0,,15.0,2023-06-13 05:44:18
16,1,,16.0,2023-06-13 05:44:28
17,0,,17.0,2023-06-13 05:44:38
18,0,,18.0,2023-06-13 05:44:48
19,0,,19.0,2023-06-13 05:44:58
20,1,,20.0,2023-06-13 05:45:08
21,0,,21.0,2023-06-13 05:45:18
22,0,,22.0,2023-06-13 05:45:28
23,1,,23.0,2023-06-13 05:45:38
24,1,,24.0,2023-06-13 05:45:48
25,1,,25.0,2023-06-13 05:45:58
26,1,,26.0,2023-06-13 05:46:08
27,1,,27.0,2023-06-13 05:46:18
28,0,,28.0,2023-06-13 05:46:28
29,0,,29.0,2023-06-13 05:46:38
30,0,,30.0,2023-06-13 05:46:48
31,0,,31.0,2023-06-13 05:46:58
32,2,,32.0,2023-06-13 05:47:08
33,0,,33.0,2023-06-13 05:47:18
34,0,,34.0,2023-06-13 05:47:28
35,0,,35.0,2023-06-13 05:47:38
36,0,,36.0,2023-06-13 05:47:48
37,0,,37.0,2023-06-13 05:47:58
38,0,,38.0,2023-06-13 05:48:08
39,0,,39.0,2023-06-13 05:48:18
40,0,,40.0,2023-06-13 05:48:28
41,0,,41.0,2023-06-13 05:48:38
42,1,,42.0,2023-06-13 05:48:48
43,0,,43.0,2023-06-13 05:48:58
44,0,,44.0,2023-06-13 05:49:08
45,0,,45.0,2023-06-13 05:49:18
46,0,,46.0,2023-06-13 05:49:28
47,0,,47.0,2023-06-13 05:49:38
48,0,,48.0,2023-06-13 05:49:48
49,0,,49.0,2023-06-13 05:49:58
50,0,,50.0,2023-06-13 05:50:08
51,0,,51.0,2023-06-13 05:50:18
52,0,,52.0,2023-06-13 05:50:28
53,0,,53.0,2023-06-13 05:50:38
54,0,,54.0,2023-06-13 05:50:48
55,0,,55.0,2023-06-13 05:50:58
56,0,,56.0,2023-06-13 05:51:08
57,0,,57.0,2023-06-13 05:51:18
58,0,,58.0,2023-06-13 05:51:28
59,0,,59.0,2023-06-13 05:51:38
60,0,,60.0,2023-06-13 05:51:48
61,0,,61.0,2023-06-13 05:51:58
62,0,,62.0,2023-06-13 05:52:08
63,0,,63.0,2023-06-13 05:52:18
64,0,,64.0,2023-06-13 05:52:28
65,0,,65.0,2023-06-13 05:52:38
66,1,,66.0,2023-06-13 05:52:48
67,1,,67.0,2023-06-13 05:52:58
68,1,,68.0,2023-06-13 05:53:08
69,1,,69.0,2023-06-13 05:53:18
70,1,,70.0,2023-06-13 05:53:28
71,0,,71.0,2023-06-13 05:53:38
72,1,,72.0,2023-06-13 05:53:48
73,0,,73.0,2023-06-13 05:53:58
74,0,,74.0,2023-06-13 05:54:08
75,0,,75.0,2023-06-13 05:54:18
76,0,,76.0,2023-06-13 05:54:28
77,0,,77.0,2023-06-13 05:54:38
78,1,,78.0,2023-06-13 05:54:48
79,0,,79.0,2023-06-13 05:54:58
80,0,,80.0,2023-06-13 05:55:08
81,0,,81.0,2023-06-13 05:55:18
82,1,,82.0,2023-06-13 05:55:28
83,1,,83.0,2023-06-13 05:55:38
84,1,,84.0,2023-06-13 05:55:48
